text,sentiment
Idiot: how would you feel if your mom aborted you?  Me: nothing cause I would be fucking dead. #SemST ,1
@user Abortion Workers Charged with Manslaughter After Another Woman Dies From #SemST ,1
Pretend I'm a #tree and #save me. -babies everywhereyouthgen #SemST ,1
"Your life is worth a lot. Don't believe any ""compassionate"" politicians or doctors or friends who tell you otherwise. You matter. #SemST ",1
RT @user Yes I will be at @user Counting down to it. Looking forward to standing up for the right to life #... #SemST ,1
Re Last: I can't get past this...why must abortion providers dismember a fetus alive?  That just sounds...hideously inhumane. #SemST ,1
How Ohio is secretly as restrictive as Texas with their #antichoice laws #TRAPlaws #SemST ,1
We are people who believe every child is entitled to life and liberty.... -@BarackObama  Yet abortion is still legal. #SemST ,1
@user Yup. The women in the womb are as precious as those who are outside of it. #ProLifeYouth #AllLivesMatter #SemST ,1
Ok now how about we handle up on something just a little more important.....like MURDER   #SemST ,1
Both Democrats and #IslamicState murder by dismemberment. The only difference is the age of their victims. #ISIS #SemST ,1
Legalized tweeting-instead-of-procreating discriminates against the unconceived child. #worstargumentever #lolanti #SemST ,1
Abortion is legal all nine months in Canada and in some parts of the USA. #ProLifeYouth #SemST ,1
RT alvedaking: The most disturbing thing we to this planet is to flood our streets with the #blood of #children from #HappyEarthD... #SemST ,1
@user @user #Obama cares more about deserters than unborn babies #ProtectTheUnprotected #AntiAbortion #SemST ,1
@user Its not only safe but contrally to the ten commandments... Thy shall not kill #ItsNotonItsNotSafe #SemST ,1
"@user But adoption chooses to let them live. Obviously a huge difference. You can see that, right?  #Adoption #SemST ",1
"if we can accept that a mother can kill even her own child, how can we tell other people not to kill one another?  #SemST ",1
RT @user #SCOTUS says they support equality for all. Well what about equality for the unborn?  #SemST ,1
@user   goes along with the world is the law of God and not of men #SemST ,1
Every human person - is a being of inestimable worth created in the image and likeness of God. -St. JPII #SemST ,1
The day that love will truly win is the day that the injustice known as abortion is abolished. #AllLivesMatter #SemST ,1
@user @user @user Where did we get that right? When did we get that right- at conception? #antichoice #SemST ,1
"Abortion does not make you un-pregnant, it makes you the mother of a dead child.isright #SemST ",1
#Humans have taken over the role of #God - #RachelDolezal #CaitlynJenner #SCOTUSMarriage #SemST ,1
I love how #liberals only accuse #conservatives of war on women when we don't want to fund ,1
@user Good point but  Our heart starts beating 22 days after conception we are alive at conception. #SemST ,1
"I'm a woman who cannot conceive, and I proudly beg you to reconsider killing what I'd die for.               #ProLifeYouth #SemST ",1
U.S. Fed law does nothing to prevent killing of pre-born children even up til sec of birth or seriously address root causes of #SemST ,1
"Why is bacteria considered life on Mars, but a heartbeat is not considered life on earth? #heartbeat #SemST ",1
"@user Precisely! In God's eyes, ALL life is precious. Let's make this generation the one who ends abortion! #ProLifeYouth #SemST ",1
It is so much fun having younger friends who are expecting babies. #beentheredonethat #chooselife ,1
I've noticed that everybody that is for Abortion has already been born-Ronald Reagan #LetthemLive #AllLivesMatter #SemST ,1
#Florida AttorneyGeneralBondi files appeal after Judge grants ACLU request to temporarily halt new law requiring 24hr wait before #SemST ,1
How the fuNk is Chris Christy a Republican? Oh Yeah hes a RINO #1A #2A #NRA #COS #CCOT #TGDN #PJNET  #WAKEUPAMERICA #SemST ,1
@user because a good percent utilized that wonderful gift of choice (#proChoice). #SemST ,1
"RT @user @user @user Everybody but the unborn, right? #SemST ",1
"@user  22wks is too late to be able to have a termination in my opinion, these triplets are babies not a bunch of cells. #SemST ",1
@user you want the freedom to murder a baby. Rip them limb by limb. No change in subject by me.Libertarian #SemST ,1
It is a #poverty to decide that a #child must #die so you may live as you wish. -Mother Teresa #prolifeyouth #prolifegen #SemST ,1
"We all have a duty to protect the sanctity of life...from the first cell division, to the last. #ProtectLife #pjnet #ctot #ccot #SemST ",1
I refuse to stop praying for an end to abortion. #SemST ,1
"Pregnancy is not a crisis. It's a gift. Whether they be wanted by you or someone else, no child is unwanted. #ChooseLife #Adoption #SemST ",1
We are thrilled to announce that we will be opening a satellite office!  We'll be right across the street from #ASU !  #SemST ,1
@user @user And gov't $ should never go to the largest corporation that murders little babies. Defund #SemST ,1
"Messed up: Being outraged that it's legal to distribute images of abortion, but being fine with abortion being legal. #No2Trudeau #SemST ",1
"Abortion is on the wrong side of history: healers, inventors, artists, your wife, your husband, your best friend, all eliminated. #SemST ",1
RT @user The most disturbing thing we to this planet is to flood our streets with the #blood of #children from #HappyEarth... #SemST ,1
Why are we all here? Because all of our mothers granted us the gift of life and did not abort us. All life has value. #ProLifeYouth #SemST ,1
"Abortion has nothing to do with feminism. Its about the BABYS body, not yours.isright #SemST ",1
In Ireland the unborn child has constitutional protection. Long may this continued.Youth #SemST ,1
Since now the LGBT community received equal rights now it's time to give equal rights to the unborn community! #SemST ,1
"Why would a mother advice her daughter to abort?? Shame, responsibility, but truly is that the best advice?? #ItsNotOnItsNotSafe #SemST ",1
"...and said unto them, Suffer the little children to come unto me, & forbid them not: for of such is the kingdom of God. Mk 10:14 #SemST ",1
The Democrats just gave the most chilling reply when asked if they support aborting 7-pound babies #SemST ,1
@user @user @user Ginsburg already supports the death penalty..i.e. #SemST ,1
@user I am in favor of women's rights and their right to choose. How I chose is irrelevant to others #SemST ,1
"Unthinkable, shameful, acceptable, encouraged, desirable  ...the evolution of killing the defenseless.   @user @user #SemST ",1
RT @user #DebbieWashermanSchultz the woman has a voice the doctor has a voice. Who speaks for the baby? I'm just askin. #SemST ,1
"Sweat, killed and cut up his victim, extreme deadbeat parents do the same to innocent babies by abortion, #scotusabortion #SemST ",1
You will not #silence my message you will not mock my #God you will stop #killing my #generation.youth #SemST ,1
RT @user RT if you're ready to help us defeat #AssistedSuicidelike we defeated #AbortionExpansion! #noPASny #SemST ,1
They were slaying their own souls when they offered up their sons & when they shed the blood of infants. #Augustine #Psalm106 #SemST ,1
@user please consider the status of preborn girls as the most vulnerable women in society. #peivotes #SemST ,1
The right to #choose? Thats a #lie! #babies don't choose to #die! Prolifeyouthgen #SemST ,1
"'Amen, I say to you, whatever you did for one of these least brothers of mine, you did for Me.'  Mt 25:40  #ProLifeYouth #SemST ",1
RT @user Im Prolife and Abortion has and will always be taking a life!  #ChooseLife #Christians #Prolife... #SemST ,1
"There's a law protecting unborn eagles, but not  humans uh, idk if you've noticed, but there aren't 7 billion eagles around. #SemST ",1
RT @user I will fight for the unborn! #SemST ,1
"Justice Breyer et al think injections into arms of killers is heinous.  No word on acidic saline executing unborn babies, however.  #SemST ",1
Do to others whatever you would have them do to you. This is the law and the prophets.  Mt 7:12  #ProLifeYouth #SemST ,1
"@user I'm not surprised murder is legal in Israel, should be illegal in civilized countries like USA #SemST ",1
"#Hillary, Here's one Christian whose religion views will never ""adapt"" to include abortion. Abortion is murder. #SemST ",1
@user  @user All children except the millions that have been aborted #everylifematters #SemST ,1
"@user Or another hypocrisy are  those who campaign for animal rights but are ""pro choice"" . #SemST ",1
Life is our first and most basic human right. ,1
"Democrats are always AGAINST ""Personhood"" or what they perceive to be legislation to recognize #Personhood. Always. #Colorado #SemST ",1
"Dear #SCOTUS, now that you deemed it constitutional to ""defend the rights of ALL people,"" can we get a ruling to abolish abortion? #SemST ",1
"@user celebrates ""equality"" while 3000 unborn babies were killed today. Let's talk about a real inequality sir #LifeEquality #SemST ",1
In church for a Pro-life meeting. I will be the voice for the unborn. #SaveTheBabiesBumpThemAnimals #GodIsLoveSoLoveWins!! #SemST ,1
If #BlackLivesMatter why not black babies in the womb? Somehow their lives don't matter.... puzzled with that one. #catholic #SemST ,1
.@giannaberettamo @user @user Happy feast of St. Gianna Beretta Molla! May she pray for us! #SemST ,1
I truly believe that #BlackLivesMatter and that's why I'm against Planned Parenthood. #ycot #SemST ,1
RT @user Save the Baby Humans! #WAAR #SemST ,1
"We all are sinners, but what right do humans have to kill another human being? Is that what God wanted us to do? #SCL #thoughts #SemST ",1
#Prolife laws kill women. Real #feminists are #prochoice. Calling us #feminazi? Because of course you have no arguments. #fem2 #SemST ,1
We should not deny the basic human right to life for unborn babies. #LifeWins #EndTheDiscrimination #SemST ,1
We are surprised at #SCOTUS ruling on marriage? Isn't this the the same government agency that legalized murder? #SemST ,1
"In so many ways, to so many people around the world, America really IS the ""Great Satan"" #GayMarriage #Drugs #WakeUpAmerica #SemST ",1
@user Like i said you are weak. We are strong!   #Christian  #WeWillOvercome #SemST ,1
Way to go Mozambique.  Thank you for recognizing #Equality We should be allowed to make our own choices.  #SemST ,1
"@user -there should be a ""stigma"" to butchering pre-born children - its a horrendous crime against humanity.  #murder ",1
"#Mozambique's new penal code takes effect on Wednesday containing several significant new elements,including #decriminalisation of #SemST ",1
@user  #DailyWordsOfWisdom Pat's best Hell is for children  still defines goverment #fostercare #adoption #SemST ,1
When Laws are passed by SCOTUS that defy a Gods laws it is always the children who suffer. God bless the children. #promarriage #SemST ,1
"Im against abortion & i stand by my opinion. No, its NOT just a mass of cells. #SemST ",1
RT @user RT @user Adopting a child shouldn't cost more than aborting one.   #adoptionclini... #SemST ,1
That's like being into cannibalism but against abortion.comparing being against eggs but loving chicken. #cannibalism #analogy #SemST ,1
"@user @user Nothing to do with me.  It's not my choice, nor is it yours, to dictate what another woman chooses. #feminism #SemST ",2
"@user No. It's absurd to refer to healthcare that saves pregnant people's lives as ""killing. #SemST ",2
"@user He's not concerned about women's health, it's all about control. Stay outta my lady parts, Mr. Patrick! #SemST ",2
@user defunding PP won't mean fewer abortions. It will mean more dead women. #SemST ,2
@user I don't either. Why would you want to make people have kids? Esp when they're not prepared? Makes no sense. ,2
Progress for #AfricanAmericans check. Progress for #Gay people check. Progress for #Women. Waiting waiting waiting.... #SemST ,2
Kudos to the mentality that believes people who are dumb enough to not use protection are 'mature enough' to take care of a baby. #SemST ,2
RT @user Consenting to sex is not consenting to being pregnant!!! Like!!! No!!!! #SemST ,2
"I don't plan on ever having an abortion, but here's the thing ...I don't think anyone ever PLANS on it. #SemST ",2
If it's getting old maybe you should stop calling embryos & fetuses babies. #SemST ,2
"@user Premise is wrong. Nothing on earth has a ""right"" to use someone's body w/out consent. #rapeculture #SemST ",2
"Yep. RT: ""Defunding PP won't mean fewer abortions. It will mean more dead women. #prochoice"" #1in3 ",2
@user @user @user Abortion is NOT illegal and I would never judge a woman for making that choice. #SemST ,2
"Just a reminder, don't take your eyes off #SCOTUS yet #reprohealth is still on the line. #womensrights #ReproJustice #reprorights #SemST ",2
"A needed, safe medical procedure is available to women. Unfortunately, RW men say they should make women's decisions. Sad, huh? #SemST ",2
@user @user Captors have already been born and are no longer part of the body of a pregnant woman. That's the difference. #SemST ,2
Watching teen mom and watching Farrah be a bitch makes me believe in abortion that much more. #SemST ,2
Well that's a win for women in Texas. Thank you SCOTUS! #texas #SemST ,2
Inching toward diabetes while supporting @user at #ChocolateMadness 2015. #mapoli #SemST ,2
people in the government care more about words in a bible than women and their bodies #SemST ,2
"@user because it's not your baby, body or decision, nor does it effect your life in any way. So it's none of your business. #SemST ",2
@user I also support Men's wrongs as well as Women's rights #Standforchoice #womensrights #SemST ,2
"If the fetus isn't inside you, than shut up love #SemST ",2
pro-life? no you're more pro-birth then after that the baby can support itself!!! #makesnosense #prowomen ,2
@user @user @user you know what massively reduces abortion? Sex education and access to birth control. #SemST ,2
She*  knows what's best for her* happiness & her* body #SemST ,2
@user putting abortion in with choices for women just won my heart over. Yaaaaaas! #shahs ,2
Bodily autonomy is a human right. A person's access to abortion is a human right. #reprojustice #reprorights #SemST ,2
RT @user The single most important factor for women's advancement in society is our ability to control our fertility. #SemST ,2
They know what's best for their health They know what's best for their happiness They know what's best for their well being.. #SemST ,2
"Some people are not ready for a child or they were even raped, and theres already too many kids who need adopting anyway #SemST ",2
Do you know anything about the right of bodily autonomy? Describe it then if you don't think the fetus takes it away from her  #SemST ,2
#SoProLife they want to force Texans to carry pregnancies that WON'T EVEN PRODUCE LIFE. #SemST ,2
@user @user Thank goodness politicians saw sense and recognised women's rights over their own bodies. #SemST ,2
"I'm killing my baby tonight, I don't care if it's wrong or right! #SemST ",2
"Breda O'Brien strikes again, why can't people just allow the woman who is carrying the 'child' to make her own decisions #Amnesty #SemST ",2
You know what's best for you You know what's best for your happiness You know what's best for your well being #SemST ,2
Happy to hear the #SCOTUS blocked closing of 10 abortion clinics in TX until an appeal can be heard #safelegalrare #thinkprogress #SemST ,2
@user It's not Monday on Twitter until some right wing troll sends me a video of an abortion #ReproRights #SemST ,2
Coming from a female that was taken away the ability to have children. I still believe women should have the ability to choose. #SemST ,2
What a great day to argue the benefits of making abortion legal #SemST ,2
Today I am grateful to have the right to control my body without govt influence. #antichoice leaders want to stop this. #abvote ,2
Forced reproduction is a human rights violation. #feminism #abortionrights #SemST ,2
@user Are you OK with #GOP males telling you what you can and can't do with your own body? ,2
"@user Exactly, no apologies needed to any #fundamentalist of any kind.  Stop apologies for rights. #p2 #SemST ",2
Good morning @user Do you plan to tell @user that women on PEI deserve the right to choose? #cdnpoli #peipoli #SemST ,2
"Govt cannot force you to get chemo but if you're a fetus, you must live! #JulieBorowski #reproductiverights #SemST ",2
@user it was her choice Mark! #profeminist #SemST ,2
Now we just need to give women everywhere their rightful choice #SemST ,2
Like the govt. is literally taking away your right to live your own life by defunding right now #SemST ,2
Today I am grateful for the #reproductiverights that allow so many families to escape poverty. #abvote #SemST ,2
"RT @user Dear Religious Right: I keep my uterus out of your church, so keep your church out my uterus. #SemST ",2
God forbid you'd ever have to walk a mile in her shoes. Then you really might know what it's like to have to choose. #SemST ,2
"@user Thanks to anti-choicers, women dealing with this may also face prosecution. #SemST ",2
I watched #AfterTiller and it gave me a whole new perspective on a woman's right to choose. #womensRights ,2
Dear #BristolPalin. STOP. Just FUCKING STOP. You have choices. It's called #abortion. Take it or leave it but quit whining. #fem2 #SemST ,2
"I'm pro choice for if you want to kill living babies, go right ahead. #SemST ",2
I refuse to let people like you shame and insult women for accessing healthcare. Sorry. Just no.  ,2
Definitely the #SCOTUS today has landed where women are. #Texas #clinics #issues #SemST ,2
"@user I don't confuse ""right to life"" with 'right-to-use-someone's-body-without-consent'. Do you? #rapeculture #SemST ",2
It's so brilliant that #lovewins - now extend the equality to women's rights #abortionrights #SemST ,2
ALSO what the fuck gives a man the right to tell a woman what to do with her body? If she wants to get an abortion so be it Texas. #SemST ,2
@user Not so great for the women you want to force to give birth against their wills. #rapeculture #SemST ,2
We live in a world where people care more about religious rights than consent & reproductive rights.... ,2
People who have been pregnant can be pro choice. People who can't have kids can be pro choice. People who have a uterus can be #SemST ,2
It's a free country. Freedom includes freedom of choice. #SemST ,2
I can't stand people who are pro life because they had a stillborn or loss.... #SemST ,2
"@user Keeping pregnant people safe is a great reason for abortion, though. ",2
People who have never had an abortion can be prochoice. People with a uterus can be prochoice. People who never want kids can be #SemST ,2
"@user No, I can't explain why you would consider a medical procedure that leaves the patient healthy & happy as killing. #SemST ",2
"@user You would force a woman to risk her health, sanity, and life, to continue a doomed pregnancy. Against her will. No. ",2
Lol it's no ones choice but the woman's when it comes to abortion. Men shouldn't even be able to vote on the issue. #SemST ,2
Lmao my school thinks giving women the right to an abortion is against feminism. They don't know feminism #wtf ,2
"@user No one is advocating ""punishment"". Would you force ppl to give birth against their wills? #rapeculture #SemST ",2
So prolifers are against health rights? #SemST ,2
U know what isn't funny? Male politicians deciding what women should do with their body's. ,2
Assaulting & manipulating pregnant people doesn't reduce #SemST ,2
".@DRUDGE_REPORT not sure I agree with her decision but, it is her decision.I wonder how many of the critics would support abortion? #SemST ",2
Are the same people who are red faced and frothing over abortion also against the death penalty? Just wondering... #deathpenalty #SemST ,2
"#SB724 passes Sen. Judiciary Cmte.This bill is an effort to shame women out of their personal, private medical decision to have an #SemST ",2
At the Mass. State House again tomorrow for Planned Parenthood's Sexual Health Lobby Day #ReproductiveJustice #Feminism #SemST ,2
"@user Every sperm is apparently sacred, and entitled to use of someone's body. #rapeculture #worstargumentever #SemST ",2
My teacher today basically said that embroyo's are nothing but skin + blood & that abortion was fine. #smartlady ,2
"RT @user Say it again for me one time!  Anti-abortion laws only lead to unsafe, illegal abortions! #SemST ",2
"Your life, your body, your choice.  #womenshealth #womensrights #SemST ",2
@user @user @user women being independent and making their own CHOICES #SemST ,2
"What a great 7 days to be an American, especially a Texan. #SCOTUS  #LoveWins #Obamacare  #SemST ",2
Bernadette Smyth is an ignorant thunder cunt.  Not her life. Not her body. Not her business.  #ItsABallOfCellsNotABaby  #NewsNI #SemST ,2
@user @user @user if men could get pregnant things would change pretty quickly! #BackOff #SemST ,2
"@user Once again, whose body do you have a ""right"" to use w/out consent? Still waiting. #rapeculture #SemST ",2
RT @user When is abortion a responsible choice? When a woman chooses it to be #SemST ,2
Americans clearly support family planning. Cutting Title X is wrong #ProtectPrevention #savetitleX #SemST ,2
"How can you be ""against abortion"" and also want to take away all the free birth control clinics for the poor? How? #SemST ",2
People who want kids can b prochoice. U don't have to want an abortion to b prochoice. People who had a miscarriage can b prochoice #SemST ,2
Praise to District Court Judge Larry Hendricks for blocking that ridiculous anti-abortion law in Kansas #SemST ,2
They know what's best for their safety. #SemST ,2
Off to the #clinic this morning. 2015 and we still have to chase away anti-choice nutters harassing our patients. #SemST ,2
"It's not #yourbody, so it's not your #choice.youthgen #SemST ",2
"Sadly, most health insurance plans don't cover abortions, so the price can be quite high.... ",2
What is the difference between a baby and a onion? No one cries when you chop up the baby.   Hahahahaha! Love dead babies! #Babies #SemST ,2
So unfortunate #thebriefcase @user Adoption isn't always the answer. #SemST ,2
"@user @user actually noone said they dont consider it life, and an abortion is between a woman and her doctor #SemST ",2
"I know what's best, for my health. You don't know anything about me.  #SemST ",2
@user don't need your input but thanks. #womanschoice #controlyourownbody #SemST ,2
"@user Complications come with all types of medical procedures, doesn't mean procedure itself should be banned. #DealWithIt #SemST ",2
What doesn't reduce abortions: -Making it illegal  What does: -Sex education  -Caring about the pregnant person... #SemST ,2
"Oh look!!! So not only are antichoice strongly against pregnant people's human rights, they're also homophobic. Shocker. (Not) #SemST ",2
@user I don't think I have a right to use someone else's body without consent. Do you? #rapeculture #SemST ,2
People aren't 'pro-life' they're 'pro-birth'. When a mother can't provide what happens then? #SemST ,2
@user @user @user @user @user who is for it. I'm not. But am for a women's right to her own body. #SemST ,2
Anti choice laws are sexist because they only effect women*.   #SemST ,2
So anti-choice laws are telling these women they're incapable and shouldn't make decisions that involve their own body.   #SemST ,2
"Not all women want to have or bear children, and that is okay  #SemST ",2
I would never expect an 11 year old girl to have to carry a pregnancy to term #SemST ,2
I wonder if #antichoice ever wonder if the pregnant #teen they denied accurate #SexED to could have been the one to cure cancer. #SemST ,2
Helping achieve repro. justice 1 step @ a time. #abfunds #love #compassion #abortionrights #nnaf #SemST ,2
@user And an even worse place from which to make medical decisions FOR OTHER PEOPLE #mybodymychoice #notyours #notgovt #SemST ,2
"#Fiona Bruce wants a government that forces women to have children, and then refuses to financially help them. #bodyautonomy #SemST ",2
